filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,data redundancy,message redundancy,illegible,mem: at-a-glance HR (%),mem: prolonged HR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_475.png,Economist Daily,N,Maps,Top-left,2,2,n,2,y,n,0,0,0,64.44,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_48.png,Economist Daily,N,Maps,Top-left,1,2,n,1,y,n,0,0,0,77.89,94.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_490.png,Economist Daily,N,Table,Top-left,1,1,n,1,n,n,0,0,0,48.89,92.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_491.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,0,0,0,75.58,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_493.png,Economist Daily,N,Maps,Key (top-right),2,3,n,2,y,n,0,0,0,60.23,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_5.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,0,0,0,67.5,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_516.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,0,0,0,73.91,88.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_520.png,Economist Daily,N,Bars,Top-left,1,1,n,2,n,n,0,0,0,60.47,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_521.png,Economist Daily,N,Lines,Top-left,1,2,n,1,n,n,0,0,0,70.89,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_529.png,Economist Daily,N,Bars,Top-left,2,1,n,2,n,n,0,0,0,46.81,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_53.png,Economist Daily,N,Points,Top-left,2,1,n,1,n,n,0,1,0,45.98,88.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_54.png,Economist Daily,N,Points,Top-left,3,2,n,2,y,y,0,1,0,30.23,88.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_66.png,Economist Daily,N,Lines,Top-left,2,2,n,2,n,n,0,0,0,42.5,77.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_69.png,Economist Daily,N,Lines,Top-left,1,2,n,1,n,n,0,0,0,56.99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_75.png,Economist Daily,N,Bars,Top-left,2,1,n,1,n,n,0,0,0,59.49,88.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_85.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,0,0,0,65.12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_89.png,Economist Daily,N,Maps,Key (top-left),3,3,n,3,y,n,0,0,0,54.32,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_99.png,Economist Daily,N,Maps,Top-left,2,1,n,1,y,n,0,0,0,67.78,94.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_21.png,National Post,N,Area,Top-center,3,2,n,3,y,n,0,1,1,73.81,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_48.png,National Post,N,Trees and Networks,none,1,1,n,1,n,n,1,1,0,65.96,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_7.png,National Post,N,Bars,Top,3,2,n,2,y,n,0,1,1,72.09,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryA10.png,US Department of the Treasury,G,Lines,Top (2nd row),1,1,n,2,n,n,0,1,0,45.68,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryB04.png,US Department of the Treasury,G,Lines,Top-left,2,2,n,3,n,n,1,1,0,21.98,57.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryB10.png,US Department of the Treasury,G,Bars,Top-left,3,2,n,2,n,n,1,1,0,40.22,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
