6,1,4,4,2,2,1,2,1,1,1,1,1,64.71
3,1,6,4,2,2,1,2,1,1,1,2,1,52.94
6,1,1,2,3,2,2,2,1,1,1,1,1,33.33
7,3,1,4,3,3,1,3,1,1,2,2,1,82.35
5,4,4,4,3,3,1,3,1,1,1,1,1,88.24
1,3,3,4,3,3,1,2,1,1,1,1,1,77.78
6,1,5,4,2,2,1,2,1,1,1,1,1,60
1,3,4,4,3,3,1,3,1,1,1,1,1,77.27
4,2,10,1,2,3,1,2,1,1,1,1,1,93.75
6,1,1,4,3,3,1,2,1,1,1,1,1,66.67
7,3,1,4,3,3,1,3,1,1,2,2,1,92.31
2,3,1,4,4,3,1,3,2,1,1,2,2,100
5,4,8,4,3,2,1,3,1,1,1,1,1,81.25
6,1,4,4,3,4,1,2,1,1,1,1,1,78.57
7,1,5,4,3,3,1,3,2,1,1,2,1,94.12
6,1,2,4,2,3,1,2,2,1,1,2,1,81.25
4,2,8,1,4,4,1,2,1,1,1,1,1,88.24
4,2,8,1,2,3,1,2,1,1,1,1,1,93.33
4,2,8,1,3,3,1,3,1,1,1,1,1,88.24
4,2,2,1,4,4,1,4,2,1,1,1,1,81.25
7,3,1,4,2,2,1,2,1,1,1,1,1,33.33
5,4,2,4,3,2,1,2,2,1,1,1,1,95
6,1,8,4,2,2,2,2,1,1,1,1,1,93.75
5,4,8,3,3,2,1,3,2,2,1,1,1,94.74
5,4,8,4,4,4,1,4,1,1,1,1,2,85
6,1,1,4,2,2,1,2,1,1,1,1,1,64.29
4,2,8,1,3,3,1,3,1,1,1,1,1,70.59
7,3,1,4,2,3,1,2,1,1,1,2,1,82.35
3,1,4,4,2,3,1,2,1,1,1,2,1,78.57
5,4,8,4,4,4,1,4,2,2,1,1,1,88.89
7,3,1,4,4,4,1,4,2,2,2,2,1,94.12
4,3,4,1,2,2,2,2,1,1,1,1,1,73.68
1,3,2,4,2,3,1,2,2,1,1,1,1,93.33
1,3,5,4,3,3,1,3,2,1,2,2,1,100
5,4,4,4,3,3,1,3,2,1,1,2,1,95
5,4,1,4,4,4,1,3,2,1,2,2,1,100
4,2,8,1,3,4,1,2,1,1,1,1,1,82.35
6,1,3,4,3,2,1,2,1,1,1,1,1,57.14
1,3,1,4,2,2,1,2,1,1,1,1,1,90
1,3,4,4,2,3,1,2,1,1,1,1,1,75
6,1,4,4,2,2,1,2,1,1,2,2,1,31.25
4,2,6,1,2,2,2,2,1,1,1,1,1,63.16
5,4,5,4,4,4,1,4,1,1,2,2,1,94.44
7,3,1,4,3,3,1,4,2,2,1,2,1,100
5,4,5,4,3,4,1,4,2,1,1,2,2,75
5,4,2,1,4,3,1,3,2,1,2,1,1,100
7,3,5,4,3,3,1,2,2,1,1,2,1,81.25
3,2,1,4,4,3,1,3,1,1,2,1,1,68.75
4,2,2,1,4,4,1,4,2,1,1,1,1,80
6,1,2,1,2,4,1,2,2,1,1,1,1,94.12
4,2,8,1,3,3,1,2,1,1,1,1,1,90.91
7,3,8,4,2,4,1,4,2,2,1,2,1,94.74
4,2,6,1,3,3,1,2,1,1,1,1,1,100
5,4,7,4,3,4,1,3,1,1,1,1,1,86.67
4,2,8,1,2,3,1,2,1,1,1,1,1,100
2,3,7,1,2,2,1,2,1,1,2,2,1,75
5,4,3,1,4,3,1,3,2,2,1,1,1,80
6,1,4,4,3,2,2,2,1,1,1,1,1,58.33
5,4,10,4,2,3,1,2,1,1,1,1,1,100
5,4,8,4,3,4,1,4,2,2,2,2,2,81.25
5,4,8,4,3,3,1,2,2,1,1,2,1,100
4,2,8,1,3,3,1,2,1,1,1,1,1,70.59
5,4,5,3,3,4,1,3,2,2,2,2,1,94.74
5,4,5,4,4,3,1,2,2,1,2,1,1,100
1,3,1,4,2,2,1,2,1,1,1,1,1,75
4,2,8,1,3,4,1,3,2,1,1,1,1,93.75
3,1,4,4,2,3,1,3,1,1,1,2,1,31.25
6,1,6,4,2,4,1,2,1,1,1,2,1,70.59
4,3,3,1,4,4,1,4,1,1,1,1,1,81.25
5,4,4,4,3,3,1,2,2,1,1,2,1,89.47
7,3,1,4,4,4,1,3,2,2,2,2,1,100
1,1,1,4,2,3,1,2,1,1,1,1,1,80
1,3,6,4,4,3,1,3,2,2,1,2,1,88.89
6,1,9,4,3,4,1,2,1,1,1,2,1,83.33
4,3,4,1,3,4,1,3,1,1,1,1,1,60
5,4,8,4,4,4,1,4,2,2,1,1,2,100
4,2,8,1,3,4,1,2,1,1,1,1,1,93.75
4,2,10,1,3,3,1,2,1,1,1,1,1,91.67
5,4,2,4,4,4,1,4,2,1,2,1,1,94.12
4,3,4,1,3,3,1,3,1,1,1,1,1,80
7,3,1,4,3,3,1,3,1,1,2,2,1,60
7,1,9,4,3,3,1,3,1,1,2,1,1,71.43
4,2,6,1,3,2,2,2,1,1,1,1,1,94.44
7,3,1,4,3,2,1,3,1,1,2,1,1,52.94
7,3,2,4,3,3,1,3,2,1,1,2,1,94.74
3,2,1,4,4,4,1,3,1,1,2,2,1,37.5
7,3,1,4,2,2,1,3,1,1,2,1,1,33.33
6,1,1,4,2,2,2,2,1,1,1,1,1,86.67
4,2,6,1,2,2,2,2,1,1,1,1,1,71.43
