category;vistype;attr: data-ink ratio;attr: # distinct colors;attr: visual density;attr: human recognizable object;mem: at-a-glance HR (%)
3;8;3;3;2;0;80
3;8;3;3;3;1;49.45
3;7;2;2;1;0;80.23
3;1;3;3;3;1;51.76
3;8;3;3;3;1;65.91
3;4;2;3;2;1;65.26
3;4;2;3;1;1;78.82
3;8;3;3;2;1;70.13
3;4;3;3;2;1;83.33
3;7;3;2;2;1;61.9
3;9;2;3;3;0;53.01
3;1;3;3;3;1;38.64
3;5;1;3;1;0;60.92
3;7;3;3;3;1;57.61
3;1;1;1;2;1;87.21
3;4;3;3;3;1;70.45
3;6;2;3;3;1;68.89
3;0;3;2;3;1;72.94
3;4;2;1;2;1;73.63
3;0;3;3;2;1;65.06
3;5;3;2;2;0;60.23
3;3;2;2;2;0;60.67
3;4;3;3;2;1;77.17
3;1;2;1;1;1;66.29
3;4;2;1;1;1;43.96
3;4;3;3;3;0;61.63
3;7;1;1;2;1;73.17
3;4;2;3;1;1;71.11
3;4;3;2;2;1;56.32
3;0;3;2;2;1;77.78
3;4;2;2;3;1;38.82
3;4;2;1;3;1;71.43
3;6;3;3;3;1;74.44
3;7;2;3;1;1;68.18
3;9;1;2;1;0;70
3;3;2;2;1;1;67.03
3;7;3;3;3;0;77.27
1;0;2;1;1;0;50.57
1;2;2;1;1;0;48.89
1;8;3;3;3;0;30.38
1;0;2;3;2;0;57.95
1;5;1;3;1;0;46.59
1;0;2;3;2;0;54.02
1;4;2;1;1;0;44.83
1;10;1;1;1;0;30.59
1;3;1;2;2;0;61.63
1;0;2;1;1;0;43.82
1;0;3;1;2;0;77.91
1;0;1;1;2;0;47.31
1;0;3;1;2;0;78.02
1;4;1;1;1;0;36.67
1;3;2;1;1;0;34.38
1;0;2;1;1;0;37.08
1;0;1;1;2;0;37.08
1;4;2;1;1;0;32.1
1;8;1;2;1;0;28.09
1;0;1;2;1;0;35.96
1;3;1;2;1;0;45.78
1;0;1;1;1;0;25.88
1;3;1;2;2;0;35.8
1;0;2;2;1;0;28.4
1;8;1;2;1;0;43.01
1;4;1;1;1;0;38.3
1;3;1;1;1;0;23.81
1;1;2;2;2;1;51.11
1;0;2;1;1;0;38.27
1;8;2;3;1;0;53.41
1;4;1;1;1;0;30.68
1;4;1;1;1;0;46.07
1;1;1;2;1;1;57.78
1;0;2;1;1;0;30.43
1;0;2;2;2;0;71.59
1;0;3;2;2;0;70.79
1;1;1;3;1;1;55.95
1;4;1;1;1;0;35.71
1;0;2;1;1;0;30.12
