filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,mem: at-a-glance HR (%),mem: at-a-glance FAR (%),mem: prolonged HR (%),data redundancy,message redundancy,illegible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_454.png,Economist Daily,N,Bars,Top-left,3,2,n,1,n,n,67.07,19.61,70.59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_46.png,Economist Daily,N,Table,Top-left,2,2,n,2,y,n,72.83,0.97,100,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_475.png,Economist Daily,N,Maps,Top-left,2,2,n,2,y,n,64.44,6,95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_48.png,Economist Daily,N,Maps,Top-left,1,2,n,1,y,n,77.89,25.69,94.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_490.png,Economist Daily,N,Table,Top-left,1,1,n,1,n,n,48.89,8.82,92.86,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_491.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,75.58,41.24,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_493.png,Economist Daily,N,Maps,Key (top-right),2,3,n,2,y,n,60.23,3.06,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_5.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,67.5,29.35,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_516.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,73.91,22.12,88.89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_520.png,Economist Daily,N,Bars,Top-left,1,1,n,2,n,n,60.47,13.54,57.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_521.png,Economist Daily,N,Lines,Top-left,1,2,n,1,n,n,70.89,5.38,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_529.png,Economist Daily,N,Bars,Top-left,2,1,n,2,n,n,46.81,35.29,93.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_53.png,Economist Daily,N,Points,Top-left,2,1,n,1,n,n,45.98,7.07,88.24,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_54.png,Economist Daily,N,Points,Top-left,3,2,n,2,y,y,30.23,5.77,88.89,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_66.png,Economist Daily,N,Lines,Top-left,2,2,n,2,n,n,42.5,25,77.27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_69.png,Economist Daily,N,Lines,Top-left,1,2,n,1,n,n,56.99,16,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_75.png,Economist Daily,N,Bars,Top-left,2,1,n,1,n,n,59.49,26.32,88.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_85.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,65.12,18.48,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_89.png,Economist Daily,N,Maps,Key (top-left),3,3,n,3,y,n,54.32,8.79,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_99.png,Economist Daily,N,Maps,Top-left,2,1,n,1,y,n,67.78,36,94.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_21.png,National Post,N,Area,Top-center,3,2,n,3,y,n,73.81,2.04,100,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_48.png,National Post,N,Trees and Networks,none,1,1,n,1,n,n,65.96,3.74,75,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_7.png,National Post,N,Bars,Top,3,2,n,2,y,n,72.09,6.19,100,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryA10.png,US Department of the Treasury,G,Lines,Top (2nd row),1,1,n,2,n,n,45.68,12.37,80,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryB04.png,US Department of the Treasury,G,Lines,Top-left,2,2,n,3,n,n,21.98,8.16,57.89,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryB10.png,US Department of the Treasury,G,Bars,Top-left,3,2,n,2,n,n,40.22,3.96,40,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryB15.png,US Department of the Treasury,G,Points,Top-center,1,1,n,1,n,n,24.72,5.05,52.94,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryD04_3.png,US Department of the Treasury,G,Table,Top-center,1,1,y,1,n,n,33.68,4.67,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryD05_1.png,US Department of the Treasury,G,Bars,Top-center,1,2,n,2,n,n,21.74,1.9,27.78,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treasuryD08.png,US Department of the Treasury,G,Table,Top-left,2,1,n,2,n,n,25.64,16.84,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
